date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:36	193/193	---M-Z	200	added ('OK')	application/javascript	etag:%22c1-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.stickyheader.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.stickyheader.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:36	20765/20765	---M-Z	200	added ('OK')	application/javascript	etag:%22511d-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/hammer.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/hammer.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:36	684/684	---M-Z	200	added ('OK')	application/javascript	etag:%222ac-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.smoothscroll.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.smoothscroll.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:36	3464/3464	---M-Z	200	added ('OK')	application/javascript	etag:%22d88-5ad5e463d7b74-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.lightbox.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.lightbox.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:36	194/194	---M-Z	200	added ('OK')	application/javascript	etag:%22c2-5ad5e463d7b74-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.navbartoggle.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.navbartoggle.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:41	104681/104681	---M--	200	added ('OK')	image/png	etag:%22198e9-5ad61066422f0%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/fileadmin/user_upload/asd2.png	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/fileadmin/user_upload/asd2.png	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:52	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%2210940-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons.woff?v=2.0.0	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons28b5.woff	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Css/ionicons.min.css?1597995300)
20:19:55	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%225180a-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons.svg?v=2.0.0	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons28b5.svg	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Css/ionicons.min.css?1597995300)
20:19:57	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d794-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons.eot?v=2.0.0	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/ionicons28b5.eot	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Css/ionicons.min.css?1597995300)
20:19:58	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.woff2	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.html	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
